epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,85.8062,4.12342,4.36305,2.19382,0.00048,0.0274,0.00034,9e-05,4.84887,5.78883,2.63012,0.00943075,0.00943075,0.00943075
49,87.4745,3.97485,4.29378,1.95808,0.00143,0.08219,0.00083,0.00015,4.22032,4.24792,2.34837,0.00941837,0.00941837,0.00941837
50,89.119,3.91984,4.30437,2.06891,0.0022,0.12329,0.00151,0.0004,4.19198,4.06664,2.29851,0.009406,0.009406,0.009406
51,90.8494,3.81688,4.31618,1.93255,0.00147,0.0137,0.00124,0.00033,3.38451,4.25376,1.80424,0.00939363,0.00939363,0.00939363
52,92.7648,3.99335,4.22924,1.92937,0.00144,0.05479,0.00083,0.00026,3.4766,4.22431,1.78651,0.00938125,0.00938125,0.00938125
53,94.6545,3.87741,4.32565,1.94561,0.00122,0.0411,0.00076,0.00036,3.44362,4.18816,1.79979,0.00936888,0.00936888,0.00936888
54,96.2242,3.8103,4.33765,1.98316,0.00122,0.0411,0.00076,0.00036,3.44362,4.18816,1.79979,0.0093565,0.0093565,0.0093565
55,97.9262,3.75192,4.26495,1.92095,0.00165,0.05479,0.00115,0.00035,3.41126,4.32431,1.86009,0.00934413,0.00934413,0.00934413
56,99.5334,3.96315,4.22017,2.07815,0.00533,0.05479,0.00298,0.00067,3.43156,4.33658,1.81603,0.00933175,0.00933175,0.00933175
57,101.32,4.14748,4.34203,2.02022,0.00478,0.21918,0.01473,0.00455,3.42144,3.82051,1.90053,0.00931937,0.00931937,0.00931937
58,103.03,4.25226,4.29464,1.98221,0.00485,0.26027,0.03004,0.00548,3.5744,3.74963,1.9216,0.009307,0.009307,0.009307
59,104.79,3.84669,4.47522,2.09409,0.00403,0.13699,0.00278,0.00108,3.72308,3.88824,1.90859,0.00929462,0.00929462,0.00929462
60,106.449,4.03715,4.23909,2.01691,0.00476,0.27397,0.00328,0.00096,3.58951,3.83143,1.89184,0.00928225,0.00928225,0.00928225
61,108.103,3.62685,4.17117,1.80638,0.00262,0.15068,0.00154,0.00047,3.66962,4.00314,1.91733,0.00926988,0.00926988,0.00926988
62,109.711,3.99622,4.19124,2.00504,0.00262,0.15068,0.00154,0.00047,3.66962,4.00314,1.91733,0.0092575,0.0092575,0.0092575
63,111.359,3.76879,4.10207,1.88948,0.00195,0.05479,0.00113,0.00046,3.84559,5.50069,2.01235,0.00924512,0.00924512,0.00924512
64,112.967,3.80855,4.24609,2.03793,0,0,0,0,3.71498,6.17952,1.99252,0.00923275,0.00923275,0.00923275
65,114.676,4.09598,4.24773,2.17593,0,0,0,0,3.73537,4.75313,1.93906,0.00922038,0.00922038,0.00922038
66,116.556,3.87149,4.47597,1.96909,0.00327,0.08219,0.0019,0.00034,3.67289,4.07835,1.95312,0.009208,0.009208,0.009208
67,118.227,3.82351,3.9677,1.92862,0.00309,0.16438,0.00269,0.00071,3.43677,3.81237,1.83464,0.00919562,0.00919562,0.00919562
68,119.859,3.85389,4.11106,1.99746,0.00533,0.19178,0.00711,0.0022,3.32121,3.81565,1.81586,0.00918325,0.00918325,0.00918325
69,121.604,3.84031,4.07342,1.925,0.00929,0.19178,0.0075,0.00259,3.21649,3.86011,1.73413,0.00917088,0.00917088,0.00917088
70,123.244,3.74491,4.03303,1.76242,0.00929,0.19178,0.0075,0.00259,3.21649,3.86011,1.73413,0.0091585,0.0091585,0.0091585
71,124.963,3.73697,3.97433,1.91261,0.01069,0.19178,0.00989,0.00245,3.28193,3.87834,1.76541,0.00914613,0.00914613,0.00914613
72,126.611,3.98273,3.96162,1.81628,0.01575,0.13699,0.01523,0.00422,3.1688,4.20366,1.72969,0.00913375,0.00913375,0.00913375
73,128.206,3.46102,4.13633,1.76014,0.011,0.46575,0.05485,0.01534,3.1177,3.56989,1.73779,0.00912138,0.00912138,0.00912138
74,130.06,3.8122,3.95242,2.03912,0.24475,0.13699,0.07723,0.02639,3.13068,3.15861,1.73558,0.009109,0.009109,0.009109
75,132.009,3.54941,3.9308,1.84856,0.0088,0.41096,0.07009,0.02475,3.22441,3.43625,1.76047,0.00909662,0.00909662,0.00909662
76,133.595,2.97518,4.41686,1.57643,0.52465,0.13612,0.1433,0.03955,2.96421,2.99681,1.65846,0.00908425,0.00908425,0.00908425
77,135.395,3.35157,3.76299,1.73959,0.0188,0.53425,0.19651,0.05884,2.91742,3.47751,1.6569,0.00907188,0.00907188,0.00907188
78,137.338,3.46382,3.66229,1.85164,0.0188,0.53425,0.19651,0.05884,2.91742,3.47751,1.6569,0.0090595,0.0090595,0.0090595
79,139.116,3.47454,3.54577,1.82097,0.01291,0.53425,0.10945,0.03706,3.08343,3.46774,1.70551,0.00904713,0.00904713,0.00904713
80,140.799,3.59532,3.44834,1.76654,0.55982,0.10959,0.17035,0.05772,3.22469,3.29106,1.73313,0.00903475,0.00903475,0.00903475
81,142.652,3.35144,4.11549,2.02671,0.31974,0.12329,0.10968,0.03206,3.5876,3.19719,1.80135,0.00902238,0.00902238,0.00902238
82,144.282,3.42918,3.70506,1.66438,0.01792,0.43836,0.08867,0.03158,3.51474,3.50484,1.76986,0.00901,0.00901,0.00901
83,145.868,3.26356,3.36512,1.5914,0.2636,0.06849,0.0937,0.03379,3.35218,3.41653,1.71178,0.00899762,0.00899762,0.00899762
84,147.751,3.30587,3.31097,1.55694,0.27977,0.14903,0.11142,0.04103,3.12122,3.09548,1.63377,0.00898525,0.00898525,0.00898525
85,149.374,3.21119,3.52859,1.72634,0.4918,0.12329,0.18428,0.05752,3.14853,3.14394,1.62031,0.00897287,0.00897287,0.00897287
86,150.913,3.11882,3.31214,1.64907,0.4918,0.12329,0.18428,0.05752,3.14853,3.14394,1.62031,0.0089605,0.0089605,0.0089605
87,152.526,3.20327,3.2482,1.63105,0.58091,0.20897,0.25702,0.08655,2.92395,2.92608,1.55209,0.00894812,0.00894812,0.00894812
88,154.309,3.03666,3.35331,1.49898,0.01467,0.43836,0.02842,0.00891,2.98697,3.98225,1.61317,0.00893575,0.00893575,0.00893575
89,155.956,3.11488,3.11777,1.69559,0.4234,0.32877,0.24551,0.07988,2.68031,3.01334,1.53058,0.00892338,0.00892338,0.00892338
90,157.747,2.86158,3.13324,1.58551,0.79396,0.10587,0.31859,0.12254,2.71681,3.13847,1.5442,0.008911,0.008911,0.008911
91,159.666,3.07608,3.21082,1.59426,0.54485,0.28767,0.3402,0.13302,2.65057,2.63472,1.50981,0.00889863,0.00889863,0.00889863
92,161.549,2.89426,3.06047,1.54766,0.47891,0.30137,0.33944,0.10676,2.76765,2.65786,1.54325,0.00888625,0.00888625,0.00888625
93,163.431,2.84392,2.82256,1.52078,0.59275,0.28767,0.32577,0.12165,2.59833,2.32923,1.48232,0.00887387,0.00887387,0.00887387
94,165.151,2.96483,3.014,1.50844,0.59275,0.28767,0.32577,0.12165,2.59833,2.32923,1.48232,0.0088615,0.0088615,0.0088615
95,166.851,2.73057,2.74806,1.45089,0.61111,0.35616,0.39373,0.1267,2.66092,2.31742,1.48275,0.00884912,0.00884912,0.00884912
96,168.543,2.61092,2.60843,1.39235,0.55303,0.31507,0.3247,0.11973,2.52841,2.28845,1.43801,0.00883675,0.00883675,0.00883675
97,170.269,2.66655,2.85661,1.37788,0.56325,0.26027,0.33163,0.12641,2.58277,2.69244,1.45059,0.00882438,0.00882438,0.00882438
98,171.94,3.01388,3.21943,1.51259,0.79403,0.38356,0.45689,0.21366,2.25224,2.05955,1.33449,0.008812,0.008812,0.008812
99,173.846,2.75527,2.65846,1.36962,0.58644,0.42466,0.41797,0.13704,2.43434,2.17332,1.38635,0.00879963,0.00879963,0.00879963
100,175.469,2.66251,2.67417,1.51401,0.57965,0.39726,0.46363,0.19217,2.23446,2.00108,1.30748,0.00878725,0.00878725,0.00878725
101,177.188,2.69139,2.68168,1.36445,0.6903,0.46575,0.51676,0.21129,2.19981,1.98006,1.30315,0.00877487,0.00877487,0.00877487
102,179.175,2.56122,2.60089,1.34438,0.6903,0.46575,0.51676,0.21129,2.19981,1.98006,1.30315,0.0087625,0.0087625,0.0087625
103,181.214,2.64559,2.40713,1.35293,0.60803,0.38356,0.42055,0.17321,2.19714,2.04641,1.32621,0.00875013,0.00875013,0.00875013
104,182.958,2.57778,2.82108,1.50136,0.69701,0.30137,0.42581,0.1807,2.22891,2.34614,1.35693,0.00873775,0.00873775,0.00873775
105,184.542,2.54314,2.47123,1.36963,0.6099,0.34247,0.411,0.18508,2.23773,2.02499,1.35732,0.00872538,0.00872538,0.00872538
106,186.179,2.58167,2.33591,1.33731,0.38782,0.39726,0.34982,0.1534,2.27976,1.97024,1.35467,0.008713,0.008713,0.008713
107,188.113,2.43332,2.32287,1.30082,0.60299,0.47945,0.48634,0.23213,2.0253,1.97747,1.25565,0.00870063,0.00870063,0.00870063
108,189.981,2.36025,2.62135,1.33322,0.51118,0.41096,0.45456,0.17182,2.27543,2.0242,1.31976,0.00868825,0.00868825,0.00868825
109,191.753,2.50903,2.1587,1.26165,0.79963,0.46575,0.53173,0.23618,2.12433,1.95134,1.24245,0.00867587,0.00867587,0.00867587
110,193.573,2.45153,2.13153,1.2319,0.79963,0.46575,0.53173,0.23618,2.12433,1.95134,1.24245,0.0086635,0.0086635,0.0086635
111,195.438,2.39444,2.06819,1.31826,0.73633,0.50685,0.56613,0.27852,1.96696,1.67631,1.21633,0.00865113,0.00865113,0.00865113
112,197.294,2.33699,2.18258,1.29997,0.75232,0.41617,0.48738,0.21858,2.0629,1.97536,1.25545,0.00863875,0.00863875,0.00863875
113,198.882,1.98149,3.27402,1.08395,0.7772,0.46575,0.51474,0.25319,2.03465,2.03631,1.2287,0.00862638,0.00862638,0.00862638
114,200.536,2.35688,1.98216,1.22699,0.75285,0.46575,0.54937,0.28229,1.93121,1.90089,1.19439,0.008614,0.008614,0.008614
115,202.455,2.3966,2.27692,1.28326,0.67316,0.53425,0.55389,0.23006,2.08905,2.10459,1.24643,0.00860162,0.00860162,0.00860162
116,204.1,2.47029,2.21189,1.28885,0.7575,0.49315,0.54863,0.23434,2.03786,1.83019,1.22078,0.00858925,0.00858925,0.00858925
117,205.741,2.37547,2.3037,1.29482,0.81042,0.52055,0.58046,0.31796,1.91869,1.89729,1.19697,0.00857687,0.00857687,0.00857687
118,207.638,2.27035,1.85337,1.25843,0.81042,0.52055,0.58046,0.31796,1.91869,1.89729,1.19697,0.0085645,0.0085645,0.0085645
119,209.455,2.17003,1.98781,1.25649,0.70896,0.50685,0.53702,0.27282,1.97531,1.98372,1.19351,0.00855213,0.00855213,0.00855213
120,211.093,2.25965,2.0274,1.26295,0.73295,0.50685,0.55563,0.30522,1.88454,1.79181,1.16878,0.00853975,0.00853975,0.00853975
121,212.952,2.20615,1.84181,1.21703,0.72419,0.54795,0.55687,0.26416,2.00882,1.68306,1.18763,0.00852738,0.00852738,0.00852738
122,214.574,2.2394,1.83273,1.18984,0.90842,0.52055,0.59059,0.25218,2.11949,1.7648,1.24499,0.008515,0.008515,0.008515
123,216.305,2.30926,1.81501,1.2178,0.64021,0.53425,0.5416,0.24604,2.05353,1.98428,1.21184,0.00850262,0.00850262,0.00850262
124,218.035,2.08832,1.85244,1.21579,0.80527,0.56164,0.60664,0.32245,1.95387,1.52577,1.16472,0.00849025,0.00849025,0.00849025
125,219.932,2.18169,1.88896,1.17203,0.87038,0.55198,0.61586,0.24286,2.10728,1.64472,1.20692,0.00847787,0.00847787,0.00847787
126,221.539,2.23957,1.63924,1.17752,0.87038,0.55198,0.61586,0.24286,2.10728,1.64472,1.20692,0.0084655,0.0084655,0.0084655
127,223.307,2.68792,2.17992,1.43165,0.77272,0.54795,0.60084,0.28404,1.94658,1.54727,1.14755,0.00845313,0.00845313,0.00845313
128,224.956,2.3428,1.86896,1.18487,0.74678,0.53425,0.55766,0.27411,1.92026,1.61302,1.15042,0.00844075,0.00844075,0.00844075
129,226.737,2.10859,1.82376,1.17612,0.86462,0.52499,0.59114,0.3145,1.82497,1.57162,1.11665,0.00842838,0.00842838,0.00842838
