epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,202.17,3.66828,4.75634,1.796,0.00048,0.0137,0.00024,5e-05,3.51322,4.24704,2.02044,0.0018812,0.0018812,0.0018812
50,205.669,3.69081,4.71411,1.91251,0.00543,0.28767,0.00374,0.00135,3.29709,4.29109,1.84077,0.00187872,0.00187872,0.00187872
51,210.868,3.60078,4.72078,1.95057,0.0022,0.09589,0.00129,0.00058,3.14447,4.44964,1.84352,0.00187625,0.00187625,0.00187625
52,216.095,3.6528,4.49751,1.87702,0.0022,0.09589,0.00129,0.00058,3.14447,4.44964,1.84352,0.00187378,0.00187378,0.00187378
53,219.663,3.44064,4.54582,1.98743,0.00195,0.0274,0.00111,0.00011,3.71268,4.44417,2.03198,0.0018713,0.0018713,0.0018713
54,223.223,3.68681,4.73584,1.89068,0.00282,0.0137,0.00145,0.00072,4.30001,4.30635,2.20495,0.00186882,0.00186882,0.00186882
55,226.772,3.61935,4.56585,1.98888,0.00193,0.0137,0.00103,0.00052,3.6917,4.24442,1.96698,0.00186635,0.00186635,0.00186635
56,230.372,3.48617,4.5433,1.97766,0.00603,0.28767,0.00405,0.0016,3.10387,4.07796,1.73221,0.00186388,0.00186388,0.00186388
57,235.414,3.43937,4.50038,1.9405,0.00603,0.28767,0.00405,0.0016,3.10387,4.07796,1.73221,0.0018614,0.0018614,0.0018614
58,240.424,2.97061,4.75841,1.66784,0.00881,0.50685,0.0073,0.00283,2.98469,3.91276,1.70843,0.00185892,0.00185892,0.00185892
59,245.696,3.29268,4.33313,1.85435,0.01098,0.63014,0.01322,0.00503,2.80441,3.73902,1.67097,0.00185645,0.00185645,0.00185645
60,250.715,3.22739,4.13151,1.81205,0.00998,0.39726,0.00996,0.0039,2.69263,3.8215,1.64289,0.00185397,0.00185397,0.00185397
61,254.353,3.05519,4.19636,1.84816,0.00486,0.20548,0.00367,0.00158,2.87593,4.05797,1.69492,0.0018515,0.0018515,0.0018515
62,257.853,3.27099,4.11796,1.70677,0.00816,0.45205,0.00823,0.00321,2.86484,3.79439,1.66732,0.00184903,0.00184903,0.00184903
63,261.337,3.00721,3.96912,1.79577,0.00816,0.45205,0.00823,0.00321,2.86484,3.79439,1.66732,0.00184655,0.00184655,0.00184655
64,265.027,2.9927,3.89309,1.7396,0.01056,0.60274,0.01933,0.00732,2.70817,3.42338,1.59772,0.00184408,0.00184408,0.00184408
65,270.102,2.96192,3.68875,1.73439,0.01095,0.63014,0.07927,0.02862,2.63352,3.20789,1.53767,0.0018416,0.0018416,0.0018416
66,275.263,2.80746,3.6582,1.66701,0.01191,0.67123,0.16881,0.05575,2.72658,2.98688,1.5553,0.00183912,0.00183912,0.00183912
67,280.255,3.07405,3.72895,1.65188,0.01152,0.65753,0.10164,0.03643,2.81287,2.97153,1.59533,0.00183665,0.00183665,0.00183665
68,283.811,2.86876,3.61413,1.76698,0.01152,0.65753,0.10164,0.03643,2.81287,2.97153,1.59533,0.00183418,0.00183418,0.00183418
69,287.365,2.86248,3.51119,1.67662,0.01244,0.69863,0.1514,0.04486,2.86055,2.91076,1.638,0.0018317,0.0018317,0.0018317
70,291.209,2.80638,3.46505,1.75993,0.11677,0.53425,0.16156,0.05088,2.83986,2.7057,1.64587,0.00182923,0.00182923,0.00182923
71,294.75,2.90704,3.43123,1.62248,0.01119,0.64384,0.05478,0.01523,3.07254,2.98609,1.7261,0.00182675,0.00182675,0.00182675
72,298.436,2.8153,3.14852,1.62353,0.01048,0.60274,0.0223,0.00672,3.17569,3.16922,1.80328,0.00182428,0.00182428,0.00182428
