epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,92.1099,3.97798,4.34083,2.13526,0.00167,0.09589,0.00094,0.00035,3.58998,4.35259,1.91112,0.0090496,0.0090496,0.0090496
51,93.7187,3.98031,4.37546,1.98987,0.00429,0.24658,0.00406,0.00132,3.78848,3.85975,2.0304,0.0090298,0.0090298,0.0090298
52,95.5404,3.99776,4.28835,1.96685,0.00954,0.31507,0.01479,0.00452,3.43376,3.86887,1.84952,0.00901,0.00901,0.00901
53,97.2709,3.82071,4.16953,1.94925,0,0,0,0,3.56866,4.56005,1.89381,0.0089902,0.0089902,0.0089902
54,98.8019,3.88277,4.30876,2.01078,0,0,0,0,3.56866,4.56005,1.89381,0.0089704,0.0089704,0.0089704
55,100.561,3.75768,4.20069,1.93919,0,0,0,0,3.58089,4.97476,1.92921,0.0089506,0.0089506,0.0089506
56,102.115,4.00801,4.17969,2.07443,0,0,0,0,3.56077,5.50541,1.94135,0.0089308,0.0089308,0.0089308
57,103.676,3.86324,4.25869,1.95465,0,0,0,0,3.60811,4.96707,2.11339,0.008911,0.008911,0.008911
58,105.277,4.00034,4.25079,1.93281,0.00204,0.0137,0.00104,0.00021,3.90941,4.7754,2.30019,0.0088912,0.0088912,0.0088912
59,107.273,3.97449,4.48416,2.07204,0,0,0,0,3.74997,5.04821,2.3272,0.0088714,0.0088714,0.0088714
60,108.878,3.99496,4.25218,2.00009,0.00147,0.0274,0.00077,0.0002,3.73599,4.50167,2.13508,0.0088516,0.0088516,0.0088516
61,110.456,3.7083,4.07151,1.82924,0.00929,0.53425,0.03241,0.01787,3.21362,3.60661,1.77905,0.0088318,0.0088318,0.0088318
62,112.395,3.98653,4.056,2.00087,0.00929,0.53425,0.03241,0.01787,3.21362,3.60661,1.77905,0.008812,0.008812,0.008812
63,114.136,3.70088,4.2388,1.89169,0.00643,0.36986,0.00478,0.00192,3.26791,3.75982,1.82427,0.0087922,0.0087922,0.0087922
64,115.729,3.7989,4.47005,2.04164,0.00595,0.34247,0.00518,0.00173,3.64216,3.95051,1.9663,0.0087724,0.0087724,0.0087724
65,117.546,4.11163,4.29201,2.16805,0.03636,0.08219,0.01973,0.00579,3.54025,4.0033,1.92337,0.0087526,0.0087526,0.0087526
66,119.233,3.81901,4.52594,1.97314,0,0,0,0,3.44399,4.05043,1.83604,0.0087328,0.0087328,0.0087328
67,121.231,3.87043,4.0128,1.95415,0.00418,0.19178,0.00294,0.00102,3.45536,4.08375,1.83291,0.008713,0.008713,0.008713
