epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.61076,6.31027,28.9243,4.19272,0,0,0,0,4.97982,22.9393,4.16002,0.00012,0.00012,0.00012
2,2.89058,5.98508,21.0589,4.1549,0,0,0,0,4.98004,22.9369,4.15663,0.000259678,0.000259678,0.000259678
3,3.86303,5.80379,24.9437,4.06769,0,0,0,0,4.98209,22.9131,4.15016,0.00039901,0.00039901,0.00039901
4,4.87821,5.864,21.6802,3.93928,0,0,0,0,5.00527,21.7614,4.12878,0.000537995,0.000537995,0.000537995
5,5.96466,6.03918,16.1469,3.84214,0,0,0,0,5.04807,20.6223,4.09598,0.000676634,0.000676634,0.000676634
6,7.08407,6.08801,17.3043,3.66939,0,0,0,0,5.17642,17.8313,4.02646,0.000814926,0.000814926,0.000814926
7,8.11771,5.61836,15.8834,3.68011,0,0,0,0,5.32785,16.1581,3.95231,0.000952872,0.000952872,0.000952872
8,9.15394,4.94115,11.0697,3.41236,0,0,0,0,5.65163,13.3395,3.81119,0.00109047,0.00109047,0.00109047
9,10.1356,5.00994,10.2401,3.34982,0,0,0,0,5.71332,12.9459,3.77827,0.00122772,0.00122772,0.00122772
10,11.2468,5.04793,11.0978,3.39355,0,0,0,0,5.83508,10.814,3.6985,0.00136463,0.00136463,0.00136463
11,12.2861,4.89911,8.77955,3.42875,0,0,0,0,5.98182,7.81428,3.32227,0.00150119,0.00150119,0.00150119
12,13.332,4.76,10.4575,3.27375,0,0,0,0,3.84902,6.22304,2.91443,0.0016374,0.0016374,0.0016374
13,14.5082,4.74744,9.6807,2.89734,0,0,0,0,3.59311,6.25528,3.0435,0.00177327,0.00177327,0.00177327
14,15.934,4.49694,8.21178,3.04464,0,0,0,0,3.59311,6.25528,3.0435,0.00190879,0.00190879,0.00190879
15,17.2463,4.66547,9.3184,2.86106,0.00024,0.0137,0.00012,6e-05,3.60067,10.1938,3.17159,0.00196535,0.00196535,0.00196535
16,18.4362,4.36534,8.11452,2.83756,0,0,0,0,4.05973,10.5131,2.89263,0.00196287,0.00196287,0.00196287
17,19.2983,4.61983,7.86779,2.64239,0,0,0,0,4.7658,14.7737,4.2072,0.0019604,0.0019604,0.0019604
18,20.1976,4.39193,6.6885,2.62509,0,0,0,0,3.7361,6.05697,2.30232,0.00195793,0.00195793,0.00195793
19,21.0447,4.73897,9.27712,2.64809,0.00024,0.0137,0.00012,1e-05,3.66071,6.0652,2.31417,0.00195545,0.00195545,0.00195545
20,21.9502,4.17293,7.04963,2.51855,0,0,0,0,3.68351,5.42965,2.26029,0.00195298,0.00195298,0.00195298
21,22.7914,3.96697,6.80513,2.5378,0.00048,0.0274,0.00025,0.00012,3.65494,5.62004,2.15032,0.0019505,0.0019505,0.0019505
22,23.7648,3.937,7.04116,2.54401,0.00048,0.0274,0.00025,0.00012,3.65494,5.62004,2.15032,0.00194803,0.00194803,0.00194803
23,24.8643,4.07533,6.87544,2.44572,0.00024,0.0137,0.00012,4e-05,3.45079,5.91233,2.04954,0.00194555,0.00194555,0.00194555
24,25.6627,4.33001,7.12515,2.40894,0,0,0,0,3.57035,5.721,1.99605,0.00194307,0.00194307,0.00194307
25,26.4503,3.84667,7.4899,2.22269,0,0,0,0,3.51054,5.40935,1.96054,0.0019406,0.0019406,0.0019406
26,27.3389,3.8941,5.79143,2.30933,0,0,0,0,3.47665,5.27784,1.96971,0.00193813,0.00193813,0.00193813
27,28.1434,4.34873,6.58651,2.18523,0,0,0,0,3.57043,5.14969,1.93524,0.00193565,0.00193565,0.00193565
28,28.9699,4.11374,5.982,2.38223,0,0,0,0,3.55738,5.16882,1.93718,0.00193318,0.00193318,0.00193318
29,29.7669,3.96414,6.09086,2.08236,0,0,0,0,3.55349,5.30305,1.93312,0.0019307,0.0019307,0.0019307
30,30.7773,3.88297,6.07046,2.20475,0,0,0,0,3.55349,5.30305,1.93312,0.00192823,0.00192823,0.00192823
31,31.6267,3.81336,5.61723,2.0555,0.00119,0.06849,0.00065,0.00027,3.50882,5.25452,1.90976,0.00192575,0.00192575,0.00192575
32,32.5909,3.82391,5.91517,2.06455,0.00119,0.06849,0.00064,0.00028,3.47522,5.0598,1.91417,0.00192328,0.00192328,0.00192328
33,33.5792,3.71948,6.03034,1.95254,0.00024,0.0137,0.00012,4e-05,3.53126,4.91097,1.96077,0.0019208,0.0019208,0.0019208
34,34.364,3.94429,6.19173,2.0329,0.00048,0.0274,0.00025,0.0001,3.43331,4.88846,1.91281,0.00191833,0.00191833,0.00191833
35,35.2751,3.77766,5.72916,2.0605,0.00024,0.0137,0.00012,2e-05,3.38616,4.96621,1.86651,0.00191585,0.00191585,0.00191585
36,36.131,3.84111,5.94189,1.97656,0,0,0,0,3.35249,4.93318,1.85258,0.00191338,0.00191338,0.00191338
37,36.965,3.99374,5.75489,2.05394,0,0,0,0,3.30974,4.95641,1.8823,0.0019109,0.0019109,0.0019109
38,37.8341,3.93879,5.50448,2.05731,0,0,0,0,3.30974,4.95641,1.8823,0.00190843,0.00190843,0.00190843
39,38.6329,3.89954,6.98397,2.04551,0.00048,0.0274,0.00025,6e-05,3.31414,5.14066,1.90344,0.00190595,0.00190595,0.00190595
40,39.4401,4.01974,5.1641,2.03725,0.00024,0.0137,0.00012,5e-05,3.43307,24.9156,1.92674,0.00190348,0.00190348,0.00190348
41,40.541,3.89719,5.6337,2.03404,0.00071,0.0411,0.00038,0.00014,3.45582,4.6859,1.90857,0.001901,0.001901,0.001901
42,41.846,3.90827,5.22895,2.10381,0.00071,0.0411,0.00038,5e-05,3.48113,4.68161,1.90109,0.00189853,0.00189853,0.00189853
43,42.6698,3.76478,5.60948,2.04878,0.00095,0.05479,0.00052,0.00024,3.63206,4.74685,1.94163,0.00189605,0.00189605,0.00189605
44,43.59,3.76059,5.58438,1.9752,0.00071,0.0411,0.00038,0.00017,3.80774,5.79618,1.99489,0.00189357,0.00189357,0.00189357
45,44.4159,4.16817,5.79087,2.12801,0.00119,0.06849,0.00065,0.00018,3.33248,4.90993,1.83415,0.0018911,0.0018911,0.0018911
46,45.3795,3.54299,5.80652,2.00615,0.00119,0.06849,0.00065,0.00018,3.33248,4.90993,1.83415,0.00188863,0.00188863,0.00188863
47,46.386,4.063,6.79534,2.00937,0.00071,0.0411,0.00037,0.00011,3.44274,4.93328,1.85682,0.00188615,0.00188615,0.00188615
48,47.178,3.9636,4.9969,2.07763,0.00024,0.0137,0.00012,4e-05,3.55504,4.79492,1.88161,0.00188368,0.00188368,0.00188368
49,48.0142,3.70087,4.9673,1.85182,0.00048,0.0274,0.00025,2e-05,3.7314,4.73972,1.92147,0.0018812,0.0018812,0.0018812
50,48.8293,3.70362,5.14829,1.80971,0.00143,0.08219,0.00081,0.00022,3.48473,4.7071,1.82837,0.00187872,0.00187872,0.00187872
51,49.6312,4.03801,5.07153,1.99785,0.00024,0.0137,0.00012,1e-05,3.28377,4.84253,1.79985,0.00187625,0.00187625,0.00187625
52,50.6532,3.55465,5.18336,1.91182,0.00024,0.0137,0.00012,2e-05,3.81642,4.71783,1.97205,0.00187378,0.00187378,0.00187378
53,51.5151,3.70854,4.73862,2.00115,0.00119,0.06849,0.00064,0.00022,4.13987,4.64922,2.10326,0.0018713,0.0018713,0.0018713
54,52.4189,3.72013,4.82659,1.96535,0.00119,0.06849,0.00064,0.00022,4.13987,4.64922,2.10326,0.00186882,0.00186882,0.00186882
55,53.23,3.48486,4.86118,1.94544,0,0,0,0,4.34073,4.68209,2.17427,0.00186635,0.00186635,0.00186635
56,54.0598,3.5954,4.84296,1.87534,0.00048,0.0274,0.00025,4e-05,4.34553,4.70123,2.17026,0.00186388,0.00186388,0.00186388
57,54.9452,3.55179,4.96724,1.86653,0,0,0,0,3.97138,4.71654,2.04411,0.0018614,0.0018614,0.0018614
58,55.8139,3.4699,5.00281,1.77419,0,0,0,0,3.65664,4.64828,1.91577,0.00185892,0.00185892,0.00185892
59,56.701,3.78249,4.64018,1.73441,0.00071,0.0411,0.00037,0.00014,3.37382,4.53259,1.75123,0.00185645,0.00185645,0.00185645
60,57.7272,3.65095,4.89558,1.71271,0.00167,0.09589,0.00094,0.00026,3.29566,4.38454,1.68748,0.00185397,0.00185397,0.00185397
61,58.8455,3.37031,4.8277,1.65875,0.00214,0.12329,0.00128,0.00042,3.25348,4.50076,1.64646,0.0018515,0.0018515,0.0018515
62,59.8438,3.46277,4.78706,1.71096,0.00214,0.12329,0.00128,0.00042,3.25348,4.50076,1.64646,0.00184903,0.00184903,0.00184903
63,61.0599,3.65552,4.55192,1.68851,0.0019,0.10959,0.00146,0.00054,3.2771,5.00881,1.64161,0.00184655,0.00184655,0.00184655
64,62.0418,3.34968,4.79929,1.62409,0.00214,0.12329,0.00165,0.00061,3.31781,4.76899,1.65305,0.00184408,0.00184408,0.00184408
65,63.0352,3.64701,5.07055,1.71371,0.00238,0.13699,0.0018,0.00062,3.29284,4.15319,1.6443,0.0018416,0.0018416,0.0018416
66,64.0961,3.54103,4.87087,1.7172,0.00214,0.12329,0.00132,0.00041,3.23404,4.04784,1.63463,0.00183912,0.00183912,0.00183912
